timestamp,SpineBase_x,SpineBase_y,SpineBase_z,SpineMid_x,SpineMid_y,SpineMid_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,WristLeft_x,WristLeft_y,WristLeft_z,HandLeft_x,HandLeft_y,HandLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristRight_x,WristRight_y,WristRight_z,HandRight_x,HandRight_y,HandRight_z,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootRight_x,FootRight_y,FootRight_z,SpineShoulder_x,SpineShoulder_y,SpineShoulder_z,HandTipLeft_x,HandTipLeft_y,HandTipLeft_z,ThumbLeft_x,ThumbLeft_y,ThumbLeft_z,HandTipRight_x,HandTipRight_y,HandTipRight_z,ThumbRight_x,ThumbRight_y,ThumbRight_z
0 days 00:00:40.129000000,0.8872890472412109,0.054094444960355766,2.737095355987549,0.8740561008453369,0.25238946080207825,2.68799376487732,0.8579707145690918,0.4470791816711426,2.6316709518432617,0.9098048806190492,0.5779159665107727,2.612236976623535,0.7434398531913757,0.3673335611820221,2.6634764671325684,0.6578922867774963,0.2118270993232727,2.708400011062622,0.6590902805328369,0.041197296231985085,2.704981565475464,0.6787247061729431,0.018467189744114883,2.703820943832397,1.0143305063247678,0.3799349665641785,2.6795485019683842,1.0637836456298828,0.1676095724105835,2.7449071407318115,1.0557074546813965,-0.050672296434640884,2.721957206726074,1.0527727603912354,-0.09358838945627213,2.7263402938842773,0.8179240822792053,0.05694881826639176,2.70914888381958,0.756132960319519,-0.2132976204156876,2.71407151222229,0.7154417037963867,-0.4585841000080109,2.793280124664306,0.7317097783088684,-0.3627322018146515,2.747159719467163,0.9415475726127625,0.050527624785900116,2.71814489364624,1.0157843828201294,-0.2010466158390045,2.771631956100464,0.8801706433296204,-0.42368513345718384,2.810689210891724,0.9287673234939576,-0.34283795952796936,2.7679011821746826,0.8624218702316284,0.3989875912666321,2.647186040878296,0.6821251511573792,-0.02076764963567257,2.6831629276275635,0.6926158666610718,0.03484820947051048,2.6872999668121342,1.0666518211364746,-0.14969570934772491,2.724008321762085,1.068071365356445,-0.1137014701962471,2.7035882472991943
0 days 00:00:40.180000000,0.8870196342468262,0.05384046956896782,2.7369370460510254,0.8744385242462158,0.2520432472229004,2.6879262924194336,0.8599886894226074,0.4458935856819153,2.63140606880188,0.9075471758842468,0.5771399140357971,2.612438917160034,0.7442952394485474,0.3675869405269623,2.6633288860321045,0.6584512591362,0.20491485297679898,2.709603309631348,0.6592046022415161,0.034246191382408135,2.705188751220703,0.6794461011886597,0.01164893340319395,2.699878215789795,1.0139601230621338,0.38059163093566895,2.6791436672210693,1.061012864112854,0.1768900901079178,2.7336301803588867,1.0557928085327148,-0.050755921751260764,2.7211685180664062,1.0531042814254759,-0.09529884904623033,2.7266077995300293,0.8176475763320923,0.0567362979054451,2.708712577819824,0.7474662065505981,-0.21183104813098907,2.712625503540039,0.7123081684112549,-0.4555275142192841,2.798232316970825,0.7280789613723755,-0.3598119020462036,2.7507636547088623,0.9412186741828918,0.05015155300498009,2.718311309814453,1.0274220705032349,-0.19678926467895508,2.7727291584014893,0.8846350312232971,-0.41619780659675604,2.8060452938079834,0.9178742170333862,-0.32446327805519104,2.774385690689087,0.8639097213745117,0.3980565667152405,2.646986961364746,0.6788093447685242,-0.027604222297668457,2.6850738525390625,0.6917753219604492,0.02157764695584774,2.6883764266967773,1.0640714168548584,-0.1500062793493271,2.720609188079834,1.0737482309341428,-0.12026479095220564,2.7044546604156494
0 days 00:00:40.268000000,0.8866645097732544,0.05476771295070648,2.736248254776001,0.8738974928855896,0.25261086225509644,2.6876585483551025,0.8589181900024414,0.4463053047657013,2.631394386291504,0.9058529734611512,0.5756741762161255,2.611870527267456,0.7453638315200806,0.368431955575943,2.6633732318878174,0.6593093872070312,0.22086332738399506,2.707916736602783,0.6588745713233948,0.05021074414253235,2.7062089443206787,0.6768765449523926,0.02304884418845177,2.701185703277588,1.0183546543121338,0.4002919793128967,2.6893584728240967,1.058749079704285,0.1815430223941803,2.7316367626190186,1.0545840263366701,-0.049034010618925095,2.720167875289917,1.052906513214111,-0.09499530494213104,2.725646495819092,0.8178072571754456,0.057592343538999564,2.706951856613159,0.7492047548294067,-0.21099735796451569,2.713768482208252,0.708705484867096,-0.4540337026119232,2.79909896850586,0.7265307903289795,-0.3588716685771942,2.7510862350463867,0.9404436349868774,0.051182620227336884,2.718296527862549,1.0244436264038086,-0.19736076891422272,2.7704644203186035,0.9733170866966248,-0.4392121732234955,2.854588508605957,0.9675155282020568,-0.3418920934200287,2.805025339126587,0.8630660176277161,0.398487001657486,2.6469147205352783,0.6766892671585083,-0.022245954722166058,2.684567451477051,0.6919202208518982,0.04012003540992737,2.695230722427368,1.0648962259292605,-0.15012392401695251,2.722743272781372,1.0713114738464355,-0.12274815887212752,2.698166847229004
0 days 00:00:40.355000000,0.8866400122642517,0.0547608882188797,2.736407995223999,0.8738363981246948,0.2527020573616028,2.687802314758301,0.858747661113739,0.44661012291908253,2.631563663482666,0.9058936834335328,0.5756782293319702,2.611855745315552,0.744665265083313,0.3681137561798096,2.6638777256011963,0.6598712205886841,0.2211970090866089,2.7075600624084477,0.6588688492774963,0.050599947571754456,2.7071940898895264,0.6787809729576111,0.02375231124460697,2.705333709716797,1.0162475109100342,0.3917261064052582,2.684279441833496,1.059554934501648,0.1827767789363861,2.7319347858428955,1.0546945333480835,-0.04778460413217545,2.720184087753296,1.0527210235595703,-0.09274782240390778,2.725770711898804,0.8177777528762817,0.057581871747970574,2.7069838047027592,0.7497841715812683,-0.21116216480731964,2.7136659622192383,0.7095441222190857,-0.4540773034095764,2.799412727355957,0.7269706726074219,-0.3587985038757324,2.7513346672058105,0.9404401779174804,0.05117647722363472,2.71875,1.0290064811706543,-0.1954924762248993,2.7712206840515137,0.9729544520378112,-0.43721476197242737,2.8530182838439937,0.9674602150917052,-0.339530885219574,2.804705142974853,0.8629378676414491,0.3987187147140503,2.647076368331909,0.6765024662017822,-0.018338479101657867,2.684767723083496,0.6881933808326721,0.028407979756593708,2.697711229324341,1.0701292753219604,-0.14924536645412445,2.7207674980163574,1.0716915130615234,-0.11738929152488707,2.703230619430542
0 days 00:00:40.407000000,0.8865307569503784,0.054667044430971146,2.736877679824829,0.8732657432556152,0.2531849443912506,2.6877706050872803,0.8578064441680908,0.4481756389141083,2.6307384967803955,0.9047523736953736,0.5749801993370056,2.611711978912353,0.7438376545906067,0.368034303188324,2.664875268936157,0.6598894000053406,0.22443780303001404,2.7077887058258057,0.6590044498443604,0.053843364119529724,2.7079737186431885,0.6784361004829407,0.023941896855831143,2.7020280361175537,1.015790939331055,0.3907090425491333,2.684475898742676,1.066179275512695,0.1762816160917282,2.743448257446289,1.0545815229415894,-0.04902501031756401,2.7208640575408936,1.0511020421981812,-0.0889480710029602,2.7259962558746342,0.81763756275177,0.057437550276517875,2.7075412273406982,0.7503537535667419,-0.21144676208496094,2.71451473236084,0.7030576467514038,-0.4536159038543701,2.7991671562194824,0.7208975553512573,-0.3583066761493683,2.7511231899261475,0.9402950406074524,0.05107414349913597,2.719163179397583,1.015399932861328,-0.20136167109012604,2.7691688537597656,0.8795639872550964,-0.4251135289669037,2.8020730018615723,0.9122409224510192,-0.3326677083969116,2.77156138420105,0.8621225357055664,0.3999738991260529,2.646496534347534,0.6784940361976624,-0.02960637398064136,2.6979048252105717,0.6917704343795776,0.029983259737491608,2.685376644134521,1.0692306756973269,-0.149423748254776,2.7152585983276367,1.0679820775985718,-0.08014936000108719,2.7098169326782227
0 days 00:00:40.494000000,0.8867794275283813,0.05455281212925911,2.737175703048706,0.8734030723571777,0.25310271978378296,2.6880321502685547,0.8578359484672546,0.4480918347835541,2.6310045719146733,0.9037836194038392,0.5750989317893982,2.612090349197388,0.7435026168823242,0.3678777813911438,2.6651897430419917,0.6596746444702148,0.22468742728233335,2.707533359527588,0.6593097448348999,0.05412415787577629,2.708245754241944,0.6778651475906372,0.02472513727843761,2.7046141624450684,1.0151673555374146,0.3888699412345886,2.6839768886566158,1.064362645149231,0.17605964839458466,2.74016547203064,1.054582595825195,-0.048629295080900185,2.721163272857666,1.0539997816085815,-0.0898842066526413,2.730724811553955,0.8179255127906799,0.0571729876101017,2.7082622051239014,0.7485936880111694,-0.2112281024456024,2.715463638305664,0.7051622867584229,-0.4543031752109528,2.7995469570159908,0.7222908735275269,-0.3588218092918396,2.7513368129730225,0.9405035376548768,0.05103641748428345,2.7192325592041016,1.0151073932647705,-0.20155249536037445,2.7693145275115967,0.8794190883636475,-0.42535242438316345,2.802479982376098,0.9043158888816832,-0.3300316035747528,2.7693958282470703,0.862179160118103,0.3998940885066986,2.646754026412964,0.6785447001457214,-0.03013739362359047,2.698009967803955,0.6914421319961548,0.02899319306015968,2.6866466999053955,1.0708096027374268,-0.14964504539966586,2.7192583084106445,1.0705528259277344,-0.10567081719636916,2.7074618339538574
0 days 00:00:40.545000000,0.886654257774353,0.0540023073554039,2.737259149551392,0.8747872114181519,0.2525105178356171,2.6880974769592285,0.8625555634498596,0.4471950531005859,2.631194591522217,0.9025713205337524,0.574691891670227,2.611813545227051,0.7437288165092468,0.3678247928619385,2.665224313735962,0.6592201590538025,0.22474615275859836,2.707824945449829,0.6695254445075989,0.05465039983391762,2.7084357738494877,0.6814995408058167,0.02618991769850254,2.700253963470459,1.013119339942932,0.3862490952014923,2.681460380554199,1.0664840936660769,0.185376837849617,2.740485191345215,1.0552140474319458,-0.044777050614357,2.7219173908233643,1.049021601676941,-0.09172343462705612,2.726794004440308,0.8178283572196959,0.056820750236511224,2.708093643188477,0.7495071291923523,-0.21171611547470093,2.716052532196045,0.7053599357604979,-0.4549138247966766,2.7995171546936035,0.7227793335914612,-0.3594646751880646,2.7510759830474854,0.940298080444336,0.0500946082174778,2.719660758972168,1.00865638256073,-0.20531921088695526,2.767033338546753,0.891588032245636,-0.4361506104469299,2.814537763595581,0.9186792373657228,-0.3414287865161896,2.7819221019744877,0.8660750389099121,0.3990606963634491,2.646857261657715,0.6765562295913696,-0.027467435225844383,2.689823627471924,0.6940561532974243,0.015076162293553352,2.66391658782959,1.0656436681747437,-0.14919643104076385,2.725304126739502,1.071916580200195,-0.1096998080611229,2.7073333263397217
0 days 00:00:40.632000000,0.8869307637214661,0.05472290888428688,2.737539052963257,0.8750510215759277,0.2528999745845795,2.688161373138428,0.8620075583457947,0.4472176134586334,2.631028652191162,0.9018729925155641,0.5740018486976624,2.611029863357544,0.7430159449577332,0.3676709830760956,2.6655023097991943,0.6562270522117615,0.21136876940727234,2.710256099700928,0.6639676094055176,0.04102758318185806,2.7084262371063232,0.6879350543022156,0.009835957549512386,2.7039122581481934,1.0236436128616333,0.4143142402172089,2.7019593715667725,1.0661152601242063,0.192566990852356,2.7418930530548096,1.055150270462036,-0.03758830577135086,2.722409009933472,1.0488512516021729,-0.09312815219163896,2.726543664932251,0.8186409473419191,0.057309515774250024,2.7081458568573,0.7492178678512573,-0.2111724466085434,2.714603900909424,0.7038834691047668,-0.4542941153049469,2.797726631164551,0.721566915512085,-0.35872119665145874,2.749586582183838,0.939900040626526,0.051311861723661416,2.72017765045166,1.0190595388412476,-0.1996643841266632,2.7704226970672607,0.8753456473350525,-0.4189525842666626,2.8012657165527344,0.9129765629768372,-0.3283243179321289,2.7777080535888667,0.8657713532447815,0.3991764187812805,2.6467580795288086,0.6862931847572327,-0.026659576222300533,2.6881589889526367,0.6921032667160034,0.015304973348975182,2.674375057220459,1.0613707304000854,-0.14993064105510712,2.725913524627685,1.0756689310073853,-0.08949611335992813,2.7181427478790283
0 days 00:00:40.720000000,0.8869951367378235,0.05461811646819115,2.7375164031982417,0.8750000596046448,0.2528171241283417,2.688228845596313,0.861445426940918,0.4470683336257935,2.631413221359253,0.9020081758499146,0.5741109251976013,2.610738754272461,0.7436754107475281,0.3681981265544891,2.664703607559204,0.6551896333694458,0.20617902278900144,2.711752891540528,0.6719277501106262,0.036512382328510284,2.7075188159942627,0.690385103225708,0.006226274650543928,2.6956849098205566,1.015536546707153,0.3886464238166809,2.682537317276001,1.0673444271087646,0.17790578305721286,2.7453904151916504,1.0549161434173584,-0.047042746096849435,2.72202467918396,1.050146222114563,-0.09131807833909987,2.7275123596191406,0.8187578916549683,0.05728857219219208,2.708096027374268,0.7495368719100952,-0.21122801303863525,2.7146737575531006,0.7052881121635437,-0.4544661939144135,2.797993421554565,0.7221600413322449,-0.3586427569389343,2.749915599822998,0.9399253726005554,0.05101044476032257,2.720163583755493,0.9156824350357056,-0.2207820564508438,2.746190309524536,0.9094907641410828,-0.4548262655735016,2.8580856323242188,0.9258020520210266,-0.3600724935531616,2.8078737258911133,0.8653900027275085,0.3990436494350433,2.647036075592041,0.6963942050933838,-0.0682450458407402,2.6822476387023926,0.6960739493370056,-0.007226488552987574,2.663846731185913,1.0637232065200806,-0.14885446429252625,2.7222096920013428,1.0709162950515747,-0.07507934421300888,2.718222379684448
0 days 00:00:40.771000000,0.8861972093582153,0.054169166833162315,2.7370469570159908,0.8696234226226807,0.2527294158935547,2.689124584197998,0.8484508395195007,0.4470717012882233,2.6341300010681152,0.9012530446052552,0.5740391612052917,2.610545873641968,0.7425214648246765,0.3677995800971985,2.6658399105072017,0.6555408239364624,0.21943733096122744,2.7124741077423096,0.6727202534675598,0.0497223511338234,2.708184003829956,0.6897313594818115,0.020106779411435127,2.700420618057251,1.010619878768921,0.3863339424133301,2.6776392459869385,1.0616694688796997,0.17613206803798676,2.740454196929932,1.053747534751892,-0.04741216078400612,2.7202608585357666,1.0481420755386353,-0.09145214408636093,2.7226078510284424,0.8177790641784668,0.056882083415985114,2.7077479362487797,0.7497708201408386,-0.2119946926832199,2.7134716510772705,0.7049927711486816,-0.45435830950737,2.7987868785858154,0.7219958305358887,-0.3585551083087921,2.7505619525909424,0.9392001032829284,0.05042419582605362,2.7193150520324707,1.0182700157165527,-0.2012065351009369,2.7674896717071533,0.8997966051101685,-0.4326465725898743,2.8093149662017822,0.9244304895401,-0.3366844952106476,2.778942108154297,0.8539667725563049,0.39913555979728704,2.6493637561798096,0.6949738264083862,-0.057163562625646584,2.676748037338257,0.6965168714523315,0.01869698241353035,2.6641669273376465,1.062674045562744,-0.14923690259456635,2.720500946044922,1.0726722478866575,-0.07324697822332382,2.71681809425354
